time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-25T07:59:34.390Z,-13.6734,166.6351,52.89,4.5,mb,,143,1.847,1.33,us,us10001qkq,2015-03-25T16:02:09.829Z,"101km WNW of Sola, Vanuatu",earthquake
2015-03-25T07:02:37.000Z,60.0439,-141.9679,6.5,2.5,ml,,,,0.83,ak,ak11537244,2015-03-25T15:05:09.768Z,"25km E of Cape Yakataga, Alaska",earthquake
2015-03-25T06:41:32.320Z,36.5732,71.3578,116.39,4.8,mb,,71,0.834,1.17,us,us10001qk5,2015-03-25T14:44:13.333Z,"19km SW of Ashkasham, Afghanistan",earthquake
2015-03-25T05:57:22.000Z,61.9951,-150.5194,60.8,2.9,ml,,,,0.84,ak,ak11537227,2015-03-25T13:59:52.213Z,"37km NW of Willow, Alaska",earthquake
2015-03-25T04:57:14.240Z,32.4507,-97.1255,5,2.6,mb_lg,,44,0.466,0.97,us,us10001qjw,2015-03-25T17:09:40.415Z,"2km NW of Venus, Texas",earthquake
2015-03-25T03:56:36.000Z,17.5291,-64.3365,33,3.1,Md,4,352.8,0.464429,0.43,pr,pr15084001,2015-03-25T11:59:17.306Z,"45km ESE of Christiansted, U.S. Virgin Islands",earthquake
2015-03-25T03:15:16.990Z,36.2665,-97.3907,3.85,3.3,mb_lg,,33,0.471,0.41,us,us10001qje,2015-03-25T06:02:10.223Z,"9km WSW of Perry, Oklahoma",earthquake
2015-03-25T02:40:40.290Z,36.0303333,-117.615,1.8,2.61,ml,29,51,0.09505,0.17,ci,ci37347888,2015-03-25T15:53:12.340Z,"28km ENE of Little Lake, California",earthquake
2015-03-25T00:34:27.830Z,42.2947,143.0541,58.46,5.1,mb,,107,0.289,0.88,us,us10001qiu,2015-03-25T03:26:23.040Z,"56km E of Shizunai, Japan",earthquake
2015-03-25T00:15:27.040Z,36.5828,-97.619,1.47,3.6,mb_lg,,65,0.303,0.29,us,us10001qim,2015-03-25T05:59:15.346Z,"26km SSE of Medford, Oklahoma",earthquake
2015-03-25T00:12:28.000Z,18.419,-67.431,16,2.7,Md,3,298.8,0.30722383,0.07,pr,pr15084000,2015-03-25T08:14:57.737Z,"21km WNW of Rincon, Puerto Rico",earthquake
2015-03-25T00:10:57.670Z,36.7402,-98.0028,3.97,3,mb_lg,,30,0.159,0.47,us,us10001qil,2015-03-25T05:58:37.926Z,"25km WSW of Medford, Oklahoma",earthquake
2015-03-24T23:57:01.800Z,18.8999,-64.4483,46,2.8,Md,3,349.2,0.98635018,0.1,pr,pr15083004,2015-03-25T07:59:36.479Z,"56km NNE of Road Town, British Virgin Islands",earthquake
2015-03-24T23:53:18.160Z,36.435,-97.7321,5,3,mb_lg,,38,0.214,0.57,us,us10001qii,2015-03-25T01:28:34.415Z,"13km ENE of Enid, Oklahoma",earthquake
2015-03-24T23:45:59.880Z,36.4328,-97.7182,5,3,mb_lg,,51,0.225,0.61,us,us10001qig,2015-03-25T01:22:19.498Z,"14km ENE of Enid, Oklahoma",earthquake
